Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Chin Up (Assisted),1,70.0,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Pull Up (Assisted),1,70.0,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Pull Up (Assisted),2,70.0,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Preacher Curl (Dumbbell),1,15.0,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Preacher Curl (Dumbbell),2,22.5,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Preacher Curl (Dumbbell),3,22.5,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Preacher Curl (Dumbbell),4,22.5,5,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Bicep Curl (Machine),1,25.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Bicep Curl (Machine),2,40.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Bicep Curl (Machine),3,40.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Bicep Curl (Machine),4,40.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Pullover (Machine),1,90.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Pullover (Machine),2,90.0,12,0,0,,,
2024-09-09 17:40:17,Afternoon Workout,51m,Pullover (Machine),3,90.0,12,0,0,,,
2024-09-10 16:41:40,Afternoon Workout,41m,Leg Press,1,0.0,12,0,0,,,
2024-09-10 16:41:40,Afternoon Workout,41m,Leg Press,2,90.0,12,0,0,,,
2024-09-10 16:41:40,Afternoon Workout,41m,Leg Press,3,140.0,12,0,0,,,
2024-09-10 16:41:40,Afternoon Workout,41m,Squat (Barbell),1,22.6796185,7,0,0,,,
